CountryCode,D_DATE,C_DESC,F_WORKDAY
CN,2010-01-01,元旦,0
CN,2010-02-13,春节,0
CN,2010-02-14,春节,0
CN,2010-02-15,春节,0
CN,2010-02-16,春节,0
CN,2010-02-17,春节,0
CN,2010-02-18,春节,0
CN,2010-02-19,春节,0
CN,2010-02-20,春节调休,1
CN,2010-02-21,春节调休,1
CN,2010-04-03,清明节,0
CN,2010-04-04,清明节,0
CN,2010-04-05,清明节,0
CN,2010-05-01,劳动节,0
CN,2010-05-02,劳动节,0
CN,2010-05-03,劳动节,0
CN,2010-06-12,端午调休,1
CN,2010-06-13,端午调休,1
CN,2010-06-14,端午节,0
CN,2010-06-15,端午节,0
CN,2010-06-16,端午节,0
CN,2010-09-19,中秋调休,1
CN,2010-09-22,中秋节,0
CN,2010-09-23,中秋节,0
CN,2010-09-24,中秋节,0
CN,2010-09-25,中秋调休,1
CN,2010-09-26,国庆调休,1
CN,2010-10-01,国庆节,0
CN,2010-10-02,国庆节,0
CN,2010-10-03,国庆节,0
CN,2010-10-04,国庆节,0
CN,2010-10-05,国庆节,0
CN,2010-10-06,国庆节,0
CN,2010-10-07,国庆节,0
CN,2010-10-09,国庆调休,1
CN,2011-01-01,元旦,0
CN,2011-01-02,元旦,0
CN,2011-01-03,元旦,0
CN,2011-01-30,春节调休,1
CN,2011-02-02,春节,0
CN,2011-02-03,春节,0
CN,2011-02-04,春节,0
CN,2011-02-05,春节,0
CN,2011-02-06,春节,0
CN,2011-02-07,春节,0
CN,2011-02-08,春节,0
CN,2011-02-12,春节调休,1
CN,2011-04-02,清明调休,1
CN,2011-04-03,清明节,0
CN,2011-04-04,清明节,0
CN,2011-04-05,清明节,0
CN,2011-04-30,劳动节,0
CN,2011-05-01,劳动节,0
CN,2011-05-02,劳动节,0
CN,2011-06-04,端午节,0
CN,2011-06-05,端午节,0
CN,2011-06-06,端午节,0
CN,2011-09-10,中秋节,0
CN,2011-09-11,中秋节,0
CN,2011-09-12,中秋节,0
CN,2011-10-01,国庆节,0
CN,2011-10-02,国庆节,0
CN,2011-10-03,国庆节,0
CN,2011-10-04,国庆节,0
CN,2011-10-05,国庆节,0
CN,2011-10-06,国庆节,0
CN,2011-10-07,国庆节,0
CN,2011-10-08,国庆调休,1
CN,2011-10-09,国庆调休,1
CN,2011-12-31,元旦调休,1
CN,2012-01-01,元旦,0
CN,2012-01-02,元旦,0
CN,2012-01-03,元旦,0
CN,2012-01-21,春节调休,1
CN,2012-01-22,春节,0
CN,2012-01-23,春节,0
CN,2012-01-24,春节,0
CN,2012-01-25,春节,0
CN,2012-01-26,春节,0
CN,2012-01-27,春节,0
CN,2012-01-28,春节,0
CN,2012-01-29,春节调休,1
CN,2012-03-31,清明调休,1
CN,2012-04-01,清明调休,1
CN,2012-04-02,清明节,0
CN,2012-04-03,清明节,0
CN,2012-04-04,清明节,0
CN,2012-04-28,劳动节调休,1
CN,2012-04-29,劳动节,0
